X,q0007_0001,q0007_0002,q0007_0003,q0007_0004,q0007_0005,q0007_0006,q0007_0007,q0007_0008,q0007_0009,q0007_0010,q0007_0011,q0008_0001,q0008_0002,q0008_0003,q0008_0004,q0008_0005,q0008_0006,q0008_0007,q0008_0008,q0008_0009,q0008_0010,q0008_0011,q0008_0012,q0009,q0011_0001,q0011_0002,q0011_0003,q0011_0004,q0011_0005,q0012_0001,q0012_0002,q0012_0003,q0012_0004,q0012_0005,q0012_0006,q0012_0007,q0013,q0014,q0015,q0017,q0020_0001,q0020_0002,q0020_0003,q0020_0004,q0020_0005,q0020_0006,q0021_0001,q0021_0002,q0021_0003,q0021_0004,q0022,q0024,q0025_0001,q0025_0002,q0025_0003,q0026,q0028,q0029,q0030
502,Sometimes,Sometimes,"Never, but open to it",Rarely,"Never, and not open to it",Rarely,"Never, and not open to it",Often,Often,"Never, but open to it","Never, but open to it",Not selected,Your weight,Not selected,Your physique,Not selected,Not selected,Not selected,Not selected,Your physical health,"Your finances, including your current or future income, assets, or debt","Your ability to provide for your family, current or anticipated",Not selected,"Employed, working full-time",Not selected,Not selected,Greater risk of being accused of being sexist or racist,Not selected,Not selected,Not selected,Not selected,Not selected,Reached out to the victim to offer support,Not selected,Not selected,Not selected,NA,Some,No,Yes,Read their physical body language to see if they are interested,Not selected,Not selected,Every situation is different,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,No,Married,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,College graduate,Missouri
503,Sometimes,Sometimes,"Never, and not open to it","Never, and not open to it","Never, and not open to it",Often,"Never, and not open to it",Sometimes,Sometimes,"Never, and not open to it",Rarely,Not selected,Your weight,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,"Your finances, including your current or future income, assets, or debt",Not selected,Not selected,"Employed, working full-time",Not selected,Greater risk of being accused of sexual harassment,Greater risk of being accused of being sexist or racist,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Never witnessed sexual harassment,Not selected,NA,Only a little,No,Yes,Not selected,Not selected,Not selected,Every situation is different,It isn?t always clear how to gauge someone?s interest,Not selected,Not selected,Not selected,Not selected,None of the above,No,Married,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,Associate's degree,Illinois
504,"Never, but open to it","Never, but open to it","Never, but open to it","Never, but open to it","Never, and not open to it","Never, but open to it","Never, and not open to it","Never, but open to it",Rarely,"Never, and not open to it","Never, and not open to it",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,"Not employed, NOT looking for work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify),Not selected,Not selected,Not selected,None of the above,No,Married,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,College graduate,Texas
505,Sometimes,Rarely,Rarely,Rarely,Sometimes,"Never, but open to it","Never, and not open to it",Sometimes,Sometimes,"Never, and not open to it",Rarely,Not selected,Your weight,Not selected,Your physique,Not selected,Not selected,Not selected,Not selected,Your physical health,"Your finances, including your current or future income, assets, or debt",Not selected,Not selected,Not employed-retired,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Not selected,Not selected,Not selected,Every situation is different,It isn?t always clear how to gauge someone?s interest,Not selected,Not selected,Not selected,Not selected,None of the above,No,Married,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,Some college,Illinois
506,Sometimes,Sometimes,"Never, and not open to it",Rarely,"Never, and not open to it",Often,"Never, and not open to it",Often,Rarely,Rarely,Often,Not selected,Your weight,Not selected,Your physique,Not selected,Not selected,Not selected,Not selected,Your physical health,Not selected,Not selected,Not selected,"Employed, working full-time",Not selected,Not selected,Greater risk of being accused of being sexist or racist,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Never witnessed sexual harassment,Not selected,NA,A lot,Yes,Yes,Not selected,Not selected,Not selected,Not selected,It isn?t always clear how to gauge someone?s interest,Not selected,Not selected,Not selected,Not selected,None of the above,Yes,Divorced,Not selected,Not selected,No children,Straight,White,College graduate,California
507,Sometimes,Sometimes,Often,Sometimes,Rarely,Often,"Never, and not open to it",Rarely,Sometimes,Rarely,Rarely,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Your physical health,"Your finances, including your current or future income, assets, or debt",Not selected,Not selected,Not employed-retired,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify),Not selected,Not selected,Not selected,None of the above,No,Married,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,College graduate,Texas
508,"Never, and not open to it","Never, and not open to it","Never, and not open to it",No answer,"Never, and not open to it",Sometimes,"Never, and not open to it","Never, but open to it","Never, and not open to it",No answer,"Never, and not open to it",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,"Not employed, NOT looking for work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify),Not selected,Not selected,Not selected,None of the above,No,Married,Not selected,Not selected,No children,Straight,White,High school or G.E.D.,Nevada
509,Sometimes,Sometimes,"Never, and not open to it",Rarely,"Never, and not open to it",Rarely,"Never, and not open to it",Often,Rarely,"Never, and not open to it",Rarely,Not selected,Your weight,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Your physical health,"Your finances, including your current or future income, assets, or debt","Your ability to provide for your family, current or anticipated",Not selected,Not employed-retired,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Not selected,Not selected,Not selected,Every situation is different,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,No,Married,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,College graduate,Indiana
510,"Never, but open to it",Rarely,Sometimes,Rarely,"Never, but open to it",Sometimes,"Never, and not open to it",Sometimes,Rarely,"Never, but open to it",Rarely,Not selected,Your weight,Not selected,Your physique,Not selected,Not selected,Not selected,Not selected,Your physical health,Not selected,Not selected,Not selected,Not employed-retired,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Not selected,Not selected,Not selected,Not selected,It isn?t always clear how to gauge someone?s interest,Not selected,Not selected,Not selected,Not selected,None of the above,No,Married,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,Post graduate degree,California
511,Sometimes,Sometimes,Rarely,Rarely,"Never, and not open to it","Never, but open to it","Never, and not open to it",Often,No answer,"Never, and not open to it",Sometimes,Not selected,Your weight,Your hair or hairline,Not selected,Not selected,Your clothing or style,Not selected,Not selected,Your physical health,"Your finances, including your current or future income, assets, or debt",Not selected,Not selected,Not employed-retired,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify),Not selected,Not selected,Not selected,None of the above,No,Never married,Not selected,Not selected,No children,Straight,White,Did not complete high school,Maine
512,Sometimes,Sometimes,"Never, and not open to it",Rarely,"Never, and not open to it",Sometimes,"Never, and not open to it",Often,Rarely,"Never, and not open to it",Sometimes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Your mental health,Not selected,Not selected,Not selected,Not selected,"Employed, working full-time",Not selected,Not selected,Greater risk of being accused of being sexist or racist,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Never witnessed sexual harassment,Not selected,NA,A lot,Yes,Yes,Not selected,Not selected,Not selected,Every situation is different,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,No,Married,"Yes, one or more children under 18",Not selected,Not selected,Straight,Black,Some college,California
513,Rarely,Rarely,Rarely,Sometimes,"Never, and not open to it",Sometimes,"Never, and not open to it",Often,Often,"Never, but open to it",Rarely,Not selected,Your weight,Not selected,Not selected,Not selected,Not selected,Sexual performance or amount of sex,Not selected,Your physical health,Not selected,Not selected,Not selected,"Not employed, NOT looking for work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Read their physical body language to see if they are interested,Not selected,Not selected,Every situation is different,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,No,Divorced,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,Associate's degree,California
514,"Never, but open to it",Sometimes,Sometimes,Rarely,"Never, and not open to it","Never, and not open to it",Sometimes,Often,"Never, and not open to it","Never, but open to it",Sometimes,Not selected,Your weight,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Your physical health,"Your finances, including your current or future income, assets, or debt",Not selected,Not selected,Not employed-retired,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Not selected,Not selected,Not selected,Not selected,It isn?t always clear how to gauge someone?s interest,Not selected,Not selected,Not selected,Not selected,None of the above,No,Never married,Not selected,Not selected,No children,Gay,White,Post graduate degree,New Jersey
515,Sometimes,Rarely,Often,Sometimes,Rarely,"Never, but open to it",Often,Often,Often,"Never, but open to it",Sometimes,Not selected,Your weight,Not selected,Your physique,Appearance of your genitalia,Your clothing or style,Sexual performance or amount of sex,Not selected,Your physical health,"Your finances, including your current or future income, assets, or debt",Not selected,Not selected,Not employed-retired,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Read their physical body language to see if they are interested,Ask for a verbal confirmation of consent,Make a physical move to see how they react,Every situation is different,Not selected,Not selected,Wondered whether you pushed a partner too far in a past sexual encounter.,Not selected,Not selected,Not selected,No,Widowed,Not selected,Not selected,No children,Gay,White,College graduate,Texas
